,degraded_miou,degraded_miou,degraded_miou,degraded_miou,miou_drop,sensitivity
,mean,std,min,max,mean,mean
config,,,,,,
geo_30_15_ling_20_vis_50,0.0921,0.0776,0.0,0.1925,0.7713,0.0029
geo_30_15_ling_10_vis_50,0.1146,0.0777,0.0019,0.1875,0.7317,0.0028
geo_30_15_ling_0_vis_50,0.1709,0.1094,0.0241,0.2847,0.6754,0.0027
geo_20_10_ling_30_vis_50,0.1953,0.107,0.0416,0.323,0.651,0.0028
geo_30_15_ling_20_vis_25,0.2185,0.1413,0.0721,0.4287,0.6277,0.0029
geo_30_15_ling_30_vis_50,0.2497,0.1591,0.0,0.4011,0.6072,0.0022
geo_30_15_ling_0_vis_25,0.2717,0.0968,0.1727,0.4308,0.5745,0.0029
geo_30_15_ling_30_vis_25,0.2812,0.143,0.0383,0.3794,0.565,0.0025
geo_20_10_ling_20_vis_50,0.2915,0.0794,0.1872,0.396,0.5548,0.0025
geo_10_5_ling_20_vis_50,0.2997,0.0399,0.2495,0.3443,0.5465,0.0032
geo_30_15_ling_10_vis_25,0.305,0.1555,0.1713,0.5562,0.5412,0.0026
geo_20_10_ling_10_vis_50,0.3099,0.122,0.1734,0.4551,0.5364,0.0026
geo_20_10_ling_30_vis_25,0.3243,0.078,0.211,0.4085,0.5219,0.0029
geo_30_15_ling_30_vis_10,0.3333,0.1258,0.1826,0.5067,0.513,0.0026
geo_20_10_ling_20_vis_25,0.3752,0.0776,0.2961,0.4734,0.471,0.0028
geo_30_15_ling_10_vis_0,0.3762,0.043,0.3324,0.4247,0.47,0.0029
geo_10_5_ling_10_vis_50,0.3942,0.1075,0.2973,0.5649,0.4521,0.0028
geo_20_10_ling_0_vis_50,0.397,0.1596,0.1366,0.5461,0.4493,0.0022
geo_30_15_ling_20_vis_10,0.4067,0.1109,0.2478,0.4957,0.4395,0.0023
geo_30_15_ling_20_vis_0,0.4146,0.0913,0.301,0.549,0.4316,0.0025
geo_30_15_ling_30_vis_0,0.4214,0.1158,0.2716,0.5758,0.4248,0.0024
geo_10_5_ling_30_vis_50,0.4366,0.1403,0.2678,0.6204,0.4096,0.0023
geo_20_10_ling_20_vis_10,0.4464,0.0736,0.3559,0.5248,0.3998,0.0029
geo_30_15_ling_0_vis_10,0.4486,0.1324,0.3344,0.6337,0.3977,0.0023
geo_20_10_ling_10_vis_25,0.4574,0.1504,0.3098,0.6733,0.3888,0.0024
geo_20_10_ling_0_vis_25,0.4684,0.0989,0.3274,0.5524,0.3778,0.0025
geo_30_15_ling_10_vis_10,0.4725,0.051,0.4137,0.5526,0.3737,0.0021
geo_10_5_ling_20_vis_25,0.4844,0.0947,0.3691,0.5926,0.3618,0.003
geo_10_5_ling_0_vis_50,0.4859,0.1055,0.3874,0.6441,0.3603,0.0024
geo_30_15_ling_0_vis_0,0.4908,0.07,0.3758,0.5496,0.3554,0.0024
geo_0_0_ling_30_vis_50,0.5007,0.0669,0.41,0.562,0.3455,0.0027
geo_20_10_ling_0_vis_10,0.516,0.1059,0.4062,0.6844,0.3302,0.0028
geo_20_10_ling_30_vis_0,0.5294,0.0991,0.3716,0.6197,0.3169,0.0024
geo_20_10_ling_30_vis_10,0.5302,0.089,0.3832,0.617,0.316,0.0021
geo_0_0_ling_20_vis_50,0.54,0.062,0.4427,0.5939,0.3063,0.0026
geo_10_5_ling_10_vis_25,0.5456,0.1152,0.4527,0.7019,0.3006,0.0027
geo_20_10_ling_10_vis_10,0.55,0.1059,0.3631,0.6122,0.2963,0.0023
geo_10_5_ling_30_vis_25,0.5706,0.0734,0.4847,0.6496,0.2757,0.0021
geo_10_5_ling_30_vis_10,0.5721,0.0768,0.4907,0.6764,0.2742,0.0027
geo_10_5_ling_0_vis_25,0.578,0.0705,0.4732,0.6454,0.2682,0.0027
geo_20_10_ling_0_vis_0,0.5889,0.0736,0.5188,0.6982,0.2572,0.0026
geo_20_10_ling_20_vis_0,0.591,0.0907,0.4378,0.6647,0.2552,0.0021
geo_20_10_ling_10_vis_0,0.6016,0.0907,0.4719,0.7139,0.2446,0.0022
geo_10_5_ling_20_vis_10,0.6115,0.065,0.5101,0.6671,0.2347,0.0026
geo_0_0_ling_10_vis_50,0.617,0.0479,0.5712,0.6844,0.2292,0.0021
geo_10_5_ling_30_vis_0,0.6173,0.0456,0.5812,0.6773,0.2289,0.0029
geo_0_0_ling_30_vis_25,0.6256,0.0513,0.563,0.6861,0.2206,0.0028
geo_0_0_ling_20_vis_25,0.6485,0.0419,0.5991,0.6937,0.1978,0.0028
geo_0_0_ling_0_vis_50,0.6578,0.0478,0.578,0.7016,0.1884,0.0019
geo_10_5_ling_10_vis_10,0.6603,0.0886,0.503,0.7105,0.1859,0.0023
geo_10_5_ling_20_vis_0,0.6792,0.0744,0.5977,0.7798,0.1671,0.0024
geo_0_0_ling_10_vis_25,0.6863,0.0277,0.6616,0.7251,0.1599,0.0027
geo_0_0_ling_0_vis_25,0.6948,0.0291,0.6621,0.7273,0.1515,0.003
geo_10_5_ling_0_vis_0,0.7149,0.0524,0.6486,0.7657,0.1313,0.0026
geo_10_5_ling_10_vis_0,0.7184,0.0459,0.6669,0.79,0.1278,0.0021
geo_0_0_ling_30_vis_10,0.7287,0.0145,0.7109,0.7481,0.1175,0.0023
