sample,config,baseline_miou,degraded_miou,miou_drop,sensitivity,geo_exp,geo_shift,ling_err,vis_sigma,n_pred_masks,n_gt_masks
synthetic_000,geo_0_0_ling_0_vis_0,0.8249,0.812,0.013,0.012954,0,0,0.0,0,3,1
synthetic_000,geo_0_0_ling_0_vis_10,0.8249,0.7582,0.0667,0.003335,0,0,0.0,10,4,1
synthetic_000,geo_0_0_ling_0_vis_25,0.8249,0.7217,0.1032,0.002064,0,0,0.0,25,4,1
synthetic_000,geo_0_0_ling_0_vis_50,0.8249,0.679,0.1459,0.001459,0,0,0.0,50,3,1
synthetic_000,geo_0_0_ling_10_vis_0,0.8249,0.795,0.0299,0.002988,0,0,0.1,0,3,1
synthetic_000,geo_0_0_ling_10_vis_10,0.8249,0.7857,0.0392,0.001308,0,0,0.1,10,5,1
synthetic_000,geo_0_0_ling_10_vis_25,0.8249,0.6616,0.1633,0.002721,0,0,0.1,25,4,1
synthetic_000,geo_0_0_ling_10_vis_50,0.8249,0.5803,0.2446,0.002224,0,0,0.1,50,5,1
synthetic_000,geo_0_0_ling_20_vis_0,0.8249,0.7688,0.0561,0.002807,0,0,0.2,0,6,1
synthetic_000,geo_0_0_ling_20_vis_10,0.8249,0.7392,0.0857,0.002143,0,0,0.2,10,3,1
synthetic_000,geo_0_0_ling_20_vis_25,0.8249,0.5991,0.2258,0.003226,0,0,0.2,25,5,1
synthetic_000,geo_0_0_ling_20_vis_50,0.8249,0.5929,0.232,0.001933,0,0,0.2,50,5,1
synthetic_000,geo_0_0_ling_30_vis_0,0.8249,0.7833,0.0416,0.001388,0,0,0.3,0,7,1
synthetic_000,geo_0_0_ling_30_vis_10,0.8249,0.7109,0.114,0.00228,0,0,0.3,10,3,1
synthetic_000,geo_0_0_ling_30_vis_25,0.8249,0.5947,0.2302,0.002877,0,0,0.3,25,3,1
synthetic_000,geo_0_0_ling_30_vis_50,0.8249,0.5215,0.3034,0.002334,0,0,0.3,50,6,1
synthetic_000,geo_10_5_ling_0_vis_0,0.8249,0.6486,0.1763,0.003527,10,5,0.0,0,7,1
synthetic_000,geo_10_5_ling_0_vis_10,0.8249,0.6748,0.1501,0.002144,10,5,0.0,10,2,1
synthetic_000,geo_10_5_ling_0_vis_25,0.8249,0.4732,0.3517,0.003517,10,5,0.0,25,6,1
synthetic_000,geo_10_5_ling_0_vis_50,0.8249,0.4107,0.4142,0.002761,10,5,0.0,50,2,1
synthetic_000,geo_10_5_ling_10_vis_0,0.8249,0.7238,0.1011,0.001685,10,5,0.1,0,6,1
synthetic_000,geo_10_5_ling_10_vis_10,0.8249,0.6903,0.1346,0.001683,10,5,0.1,10,2,1
synthetic_000,geo_10_5_ling_10_vis_25,0.8249,0.4784,0.3465,0.00315,10,5,0.1,25,4,1
synthetic_000,geo_10_5_ling_10_vis_50,0.8249,0.3143,0.5106,0.003191,10,5,0.1,50,4,1
synthetic_000,geo_10_5_ling_20_vis_0,0.8249,0.7263,0.0986,0.001408,10,5,0.2,0,2,1
synthetic_000,geo_10_5_ling_20_vis_10,0.8249,0.5839,0.241,0.002678,10,5,0.2,10,3,1
synthetic_000,geo_10_5_ling_20_vis_25,0.8249,0.5926,0.2323,0.001936,10,5,0.2,25,6,1
synthetic_000,geo_10_5_ling_20_vis_50,0.8249,0.3443,0.4806,0.002827,10,5,0.2,50,7,1
synthetic_000,geo_10_5_ling_30_vis_0,0.8249,0.5837,0.2412,0.003015,10,5,0.3,0,7,1
synthetic_000,geo_10_5_ling_30_vis_10,0.8249,0.5066,0.3183,0.003183,10,5,0.3,10,6,1
synthetic_000,geo_10_5_ling_30_vis_25,0.8249,0.4847,0.3402,0.002617,10,5,0.3,25,2,1
synthetic_000,geo_10_5_ling_30_vis_50,0.8249,0.2678,0.5571,0.003095,10,5,0.3,50,3,1
